question,purpose,maps_to_field,pilot_priority,notes
"How does the speaker describe their approach to practicing presence with clients or communities?","Help orgs discern depth of engagement vs surface-level work","how_i_practice","HIGH","Distinguishes 'stops fully to listen' from 'quick check-ins'"
"What does the speaker say about sustaining their practice when emotions or circumstances shift?","Identify practitioners who work beyond emotional ups/downs","how_i_practice","HIGH","Helps orgs avoid inspiration-dependent practitioners"
"What specific methods or techniques does the speaker teach or use in their work?","Provide concrete approaches orgs can evaluate","specific_methods","HIGH","Barry's 'half-step back from empathy' - actionable techniques"
"How does the speaker describe attending to power dynamics, structural constraints, or systemic factors?","Surface practitioner awareness of context beyond individual","power_awareness_statement","MEDIUM","Rukudzo's economic/social constraints on mental health"
"Does the speaker work by delivering services or by co-creating with communities - and how do they describe this?","Clarify service delivery model expectations","how_i_practice","MEDIUM","Yazmany's co-creation vs traditional service delivery"
"What does the speaker say distinguishes their approach from more conventional or mainstream practices?","Help orgs understand unique value proposition","how_i_practice","MEDIUM","What makes this practitioner different from others"
"How does the speaker describe the difference between surface-level and deep engagement in their work?","Enable orgs to assess depth of practice","how_i_practice","HIGH","Related to presence and sustained commitment"
"What does the speaker say about boundaries, limitations, or what they don't do in their practice?","Set realistic expectations and prevent burnout","boundaries_statement","HIGH","Rukudzo's work/life boundaries, what they explicitly don't offer"
"What traditions, frameworks, or disciplines outside their primary field inform the speaker's work?","Reveal holistic/integrative approaches","disciplines_and_frameworks","MEDIUM","Psychiatrist informed by constellation therapy, etc."
"How does the speaker describe what makes a referral or connection trustworthy?","Understand practitioner's own discernment criteria","trust_criteria","LOW","Meta-level: how they themselves evaluate connections"
"What does the speaker say about transformation versus information in their work?","Distinguish change-oriented from knowledge-delivery approaches","how_i_practice","MEDIUM","Justin's inner transformation preventing pattern repetition"
"How does the speaker talk about empathy versus compassion or other distinctions in care approaches?","Clarify sustainability of their approach","specific_methods","MEDIUM","Barry's empathy (burnout) vs compassion (sustainable)"
"What does the speaker identify as common blocks or challenges in wellbeing work?","Surface awareness of field-wide issues","field_awareness","LOW","Context for their approach and shared challenges"
"How does the speaker describe collective or community-level work versus individual support?","Identify group/systems orientation","how_i_practice","MEDIUM","Deepa's collective power vs individual therapy model"
"What does the speaker say about their own wellbeing practices or how they care for themselves?","Assess practitioner sustainability and modeling","self_care_practices","LOW","Do they practice what they teach - important for trust"
